parid,aprland,aprbldg,aprtot,rmbed,sfla,sale_month,sale_day,sale_year,sale_date,water_front,vegetation_front,price
6073376,70320,32304,102624,3,1408,2,3,2017,2/3/2017,1,1,130000
7882663,23000,167990,190990,3,1611,3,1,2018,3/1/2018,1,1,217000
6089043,75250,506684,581934,4,3466,7,29,2020,7/29/2020,1,1,582500
2163585,7875,185451,193326,3,1556,5,18,2017,5/18/2017,0,1,6000
6122814,50600,243796,294396,3,2242,10,21,2019,10/21/2019,1,1,388000
6183651,45000,189214,234214,3,1905,4,8,2019,4/8/2019,1,1,260000
6184038,46000,218670,264670,3,2204,12,6,2017,12/6/2017,1,1,264000
6224277,105000,744443,849443,4,4771,9,25,2020,9/25/2020,1,1,1100000
6224315,105000,935612,1040612,4,6645,5,21,2018,5/21/2018,1,1,185000
6250928,178249,0,178249,,,5,8,2017,5/8/2017,1,1,197000
6250961,142340,0,142340,3,2685,9,25,2020,9/25/2020,1,1,710000
6266905,32400,44988,77388,1,960,3,24,2020,3/24/2020,1,1,135200
6297614,21000,162459,183459,3,1684,5,22,2017,5/22/2017,1,1,200000
6297801,21000,168211,189211,3,1684,6,6,2019,6/6/2019,1,1,219900
2670169,26587,77964,104551,2,1044,7,15,2019,7/15/2019,1,0,132000
6297827,21000,169679,190679,3,1684,4,18,2018,4/18/2018,1,1,218000
6340706,35000,221275,256275,3,1766,10,27,2017,10/27/2017,1,1,330000
4654259,42086,87464,129550,2,1316,4,20,2018,4/20/2018,0,1,160000
5806243,160650,465633,626283,3,2526,8,2,2018,8/2/2018,0,1,695000
4654437,40359,84633,124992,2,1262,7,10,2018,7/10/2018,0,1,137500
4654011,42086,85892,127978,2,1316,9,21,2017,9/21/2017,0,1,110000
4654011,42086,85892,127978,2,1316,10,24,2019,10/24/2019,0,1,120500
7775531,33000,195012,228012,3,2056,6,9,2017,6/9/2017,1,1,250500
3033507,21000,64483,85483,2,930,10,14,2020,10/14/2020,0,1,113000
4654801,39691,88659,128350,2,1316,11,26,2018,11/26/2018,0,1,129500
4654453,35750,87356,123106,2,1100,6,12,2018,6/12/2018,0,1,142500
2970634,42315,121247,163562,2,1080,2,18,2020,2/18/2020,0,1,265000
4654950,33462,84478,117940,2,1100,8,16,2018,8/16/2018,0,1,162500
2135026,19890,125127,145017,3,1424,5,8,2020,5/8/2020,0,1,184000
2135051,15810,122194,138004,3,910,12,30,2019,12/30/2019,0,1,195000
2031166,18600,83097,101697,3,1102,12,19,2017,12/19/2017,0,1,140000
2031115,18600,85925,104525,2,1102,8,9,2018,8/9/2018,0,1,120000
3619242,163850,72333,236183,2,754,12,18,2020,12/18/2020,0,1,300000
4654771,38062,85698,123760,2,1262,3,17,2020,3/17/2020,0,1,135000
2970618,42315,121247,163562,2,1080,10,3,2017,10/3/2017,0,1,175000
3709934,37980,189190,227170,3,1564,11,25,2019,11/25/2019,0,1,269000
2703857,17867,147762,165629,4,1548,12,11,2020,12/11/2020,1,0,226800
3718020,61640,264414,326054,3,2542,10,16,2020,10/16/2020,1,1,380000
3718101,52740,228892,281632,3,1930,3,26,2018,3/26/2018,1,1,55000
3718119,57500,218110,275610,3,2072,6,13,2018,6/13/2018,1,1,307500
2031174,18600,83097,101697,2,1102,4,29,2020,4/29/2020,0,1,122500
4656391,18900,86097,104997,2,1102,1,27,2017,1/27/2017,0,1,125000
2140071,18500,139777,158277,3,1956,1,25,2017,1/25/2017,0,1,149000
3729331,72800,86468,159268,2,1025,11,16,2017,11/16/2017,0,1,157000
3730364,21024,79378,100402,3,966,12,27,2017,12/27/2017,0,1,110000
2710691,45806,144955,190761,4,1336,6,1,2017,6/1/2017,1,0,178300
3730399,21024,123245,144269,3,1134,1,29,2018,1/29/2018,0,1,158000
3733061,40320,0,40320,,,3,21,2019,3/21/2019,0,1,47500
3754018,16875,0,16875,,,3,3,2020,3/3/2020,1,1,28500
3754271,20250,0,20250,,,6,29,2020,6/29/2020,1,1,6500
5130959,98150,359636,457786,3,3000,3,15,2018,3/15/2018,0,1,485000
5153398,85000,298688,383688,4,2632,2,27,2020,2/27/2020,0,1,510400
5153061,50250,234605,284855,3,2086,8,8,2017,8/8/2017,1,1,34500
5172601,68775,295956,364731,3,2236,6,2,2017,6/2/2017,0,1,416000
5173241,22620,65933,88553,3,1058,9,15,2017,9/15/2017,0,1,102000
5280152,50000,442259,492259,6,4799,6,23,2017,6/23/2017,0,1,485000
5492117,0,187506,187506,2,876,8,21,2019,8/21/2019,0,1,232500
5665313,16000,125418,141418,3,1138,10,5,2017,10/5/2017,0,1,137500
5674193,46750,0,46750,,,2,15,2018,2/15/2018,0,1,55000
5690261,34338,196899,231237,3,2013,4,3,2019,4/3/2019,0,1,249000
5712702,166500,453399,619899,3,3121,12,20,2017,12/20/2017,0,1,775000
6123152,35000,250229,285229,3,2131,2,27,2020,2/27/2020,0,1,364500
6123152,35000,250229,285229,3,2131,11,2,2020,11/2/2020,0,1,384500
6154066,46145,214031,260176,3,2304,4,4,2018,4/4/2018,0,1,327000
3979681,55625,0,55625,,,8,11,2017,8/11/2017,0,1,45000
2718935,12210,0,12210,,,2,13,2020,2/13/2020,1,0,25500
6341141,45000,207573,252573,3,1781,11,30,2017,11/30/2017,1,1,281000
3575237,0,262463,262463,2,1130,12,13,2018,12/13/2018,0,1,252500
3575253,0,262463,262463,2,1130,2,20,2020,2/20/2020,0,1,175000
6418241,60000,286832,346832,4,2572,8,14,2020,8/14/2020,1,1,465000
